Material: 80 µm 49.4%/vol in epoxy, ~3.0 g/cc
================================================================================

 Frequency_GHz  eps1_real  eps1_imag  eps1_magnitude  eps1_phase_deg  eps2_real  eps2_imag  eps2_magnitude  eps2_phase_deg  chi_m_real   chi_m_imag  mu_real      mu_imag  eps1_loss_tangent  eps2_loss_tangent
      0.001000  11.354276  -0.499393       11.365253       -2.518404  65.210936 -49.006144       81.572473      -36.924932    6.180057 4.728868e-07 7.180057 4.728868e-07           0.043983           0.751502
      0.001097  11.192072  -0.462754       11.201634       -2.367636  60.553916 -44.296040       75.026102      -36.185994    6.180068 6.251220e-07 7.180068 6.251220e-07           0.041347           0.731514
      0.001205  11.033201  -0.427333       11.041474       -2.218046  56.250899 -40.024208       69.036953      -35.432996    6.180082 8.263640e-07 7.180082 8.263640e-07           0.038732           0.711530
      0.001322  10.877598  -0.393095       10.884699       -2.069657  52.275658 -36.150543       63.557896      -34.665286    6.180099 1.092388e-06 7.180099 1.092388e-06           0.036138           0.691537
      0.001451  10.725195  -0.360006       10.731235       -1.922491  48.603845 -32.638557       58.545787      -33.882234    6.180119 1.444046e-06 7.180119 1.444046e-06           0.033566           0.671522
      0.001592  10.575928  -0.328033       10.581014       -1.776569  45.212862 -29.455057       53.961128      -33.083245    6.180144 1.908902e-06 7.180144 1.908902e-06           0.031017           0.651475
      0.001748  10.429734  -0.297143       10.433966       -1.631913  42.081742 -26.569853       49.767762      -32.267771    6.180173 2.523390e-06 7.180173 2.523390e-06           0.028490           0.631387
      0.001918  10.286549  -0.267305       10.290022       -1.488544  39.191032 -23.955488       45.932585      -31.435327    6.180209 3.335666e-06 7.180209 3.335666e-06           0.025986           0.611249
      0.002105  10.146315  -0.238488       10.149117       -1.346481  36.522695 -21.586992       42.425293      -30.585505    6.180251 4.409385e-06 7.180251 4.409385e-06           0.023505           0.591057
      0.002310  10.008969  -0.210662       10.011186       -1.205745  34.060006 -19.441666       39.218138      -29.717996    6.180303 5.828678e-06 7.180303 5.828678e-06           0.021047           0.570806
      0.002535   9.874455  -0.183799        9.876165       -1.066356  31.787462 -17.498869       36.285716      -28.832606    6.180365 7.704740e-06 7.180365 7.704740e-06           0.018614           0.550496
      0.002783   9.742714  -0.157870        9.743993       -0.928331  29.690699 -15.739845       33.604766      -27.929276    6.180439 1.018453e-05 7.180439 1.018453e-05           0.016204           0.530127
