Material 1,Material 2,Material 3,Material 4,Material 5,Thickness 1 (m),Thickness 2 (m),Thickness 3 (m),Thickness 4 (m),Thickness 5 (m),Total Thickness (m),Max Reflection (dB)
4,12,7,8,7,0.0015832117178577543,0.002756595530537704,0.0007524375893765338,0.0016501632512872589,0.0016155951497336504,0.008358003238792901,-15.10305143692359
4,11,7,8,1,0.0038849094818347975,0.002900131527886414,0.0004968076245230527,0.0029146968756666924,5.2711617819612965e-05,0.01024925712773057,-16.375481059815105
8,9,8,12,7,0.0006693396214956536,0.0005549452058257567,0.0010353719169128677,0.001672341346628204,0.0006141794778521601,0.0045461775687146416,-15.85583188235718
4,12,8,8,7,0.00038705757790871833,0.0003729832358261941,0.001071580472523444,0.0010288023582822547,0.0006523144010540963,0.0035127380455947073,-14.574910586042485
8,12,7,8,7,0.003365102411009938,0.0007923514069209224,0.000596100468461819,0.003760496288276224,0.001508186672400641,0.010022237247069543,-16.29125372553102
4,11,7,6,7,0.0028085305528074774,0.0028503460216976325,0.0006833036394320774,0.0015388765006951629,0.002941395587946882,0.010822452302579232,-15.19308577509123
4,8,4,1,7,0.00018214943987886353,0.0009941682607374608,0.0005385602772179162,0.001455931788558954,0.0030504614073909807,0.006221271173784175,-21.465730932593473
4,11,7,6,7,0.0028085305528074774,0.0028503460216976325,0.0006833036394320774,0.0015388765006951629,0.002941395587946882,0.010822452302579232,-21.811029981196025
4,8,4,1,7,0.00018214943987886353,0.0009941682607374608,0.0005385602772179162,0.001455931788558954,0.0030504614073909807,0.006221271173784175,-6.478661891723845
4,12,8,6,7,0.000888537787244479,0.0029456275360101795,0.000678560794569383,0.00047167453521141045,0.0030000627252179213,0.007984463378253374,-7.4444132891673025
4,11,7,6,7,0.0028085305528074774,0.0028503460216976325,0.0006833036394320774,0.0015388765006951629,0.002941395587946882,0.010822452302579232,-21.04249368798994
8,9,8,12,7,0.0006693396214956536,0.0005549452058257567,0.0010353719169128677,0.001672341346628204,0.0006141794778521601,0.0045461775687146416,-11.354481629997043
4,8,4,1,7,0.00018214943987886353,0.0009941682607374608,0.0005385602772179162,0.001455931788558954,0.0030504614073909807,0.006221271173784175,-7.231348125090651
4,12,4,12,7,0.0003694245170714662,0.00048732449090539037,0.001561010476026754,0.0021316251918779582,0.0006686973983973516,0.005218082074278921,-22.277030893183927
4,12,4,12,7,0.0003694245170714662,0.00048732449090539037,0.001561010476026754,0.0021316251918779582,0.0006686973983973516,0.005218082074278921,-11.844742457685264
11,12,8,8,7,0.003502516370294706,0.001063826417091676,0.0005256526578218854,0.001484125962272426,0.003896176380454708,0.010472297787935401,-22.066019150366078
4,5,7,4,1,0.0003704975460607722,0.002956289732045234,0.0008100201193312328,0.0006947859438546422,0.00031964328281903196,0.005151236624110912,-5.085457305177629
6,12,8,6,7,0.002303594251853245,0.0028000522164427053,0.0005097239119014639,0.00046385646044636453,0.0029696371214791083,0.009046863962122887,-20.15435529056109
5,10,8,8,1,0.00024720451129544836,-4.899755201529695e-05,0.0005914913905879423,0.002745946424639779,0.00017455157239591756,0.0037101963469037902,-16.06111457876412
8,12,8,8,7,0.0009275667292685716,0.00020046456411646976,0.000829863380251607,0.0015152585119145464,0.00012057866158408595,0.0035937318471352805,-17.375977046128273
4,12,7,4,7,0.0035610998603648326,0.0015146028937281643,0.0005630197661942743,0.003748134937754749,0.0030636171684381183,0.012450474626480138,-14.495521576631834
7,12,8,6,7,0.000672373716000345,0.002950775124576867,0.0006942099724221732,0.0017401563448011287,0.00044385977577124033,0.006501374933571754,-6.986636349475226
9,9,10,8,7,0.0026255788715850415,0.0028722433357165128,0.003591828671188993,0.0004506761663158332,0.002962848984482811,0.01250317602928919,-10.715366711851523
4,12,8,8,7,0.0021081551374080086,0.0005979661944010878,0.000821308680857151,0.001948568176856796,0.0004289538300286782,0.005904952019551721,-9.468761999574708
4,12,8,8,7,0.00038705757790871833,0.0003729832358261941,0.001071580472523444,0.0010288023582822547,0.0006523144010540963,0.0035127380455947073,-3.8864240112522612
