Material 1,Material 2,Material 3,Material 4,Material 5,Thickness 1 (m),Thickness 2 (m),Thickness 3 (m),Thickness 4 (m),Thickness 5 (m),Total Thickness (m),Max Reflection (dB)
16,14,2,9,15,0.00021281922456908506,0.0002537787260442557,0.0005136016831323716,0.00025956578016527474,0.0004950086296445051,0.001734774043555492,-17.555634354043935
14,16,15,9,15,0.002194341516072601,0.00029648568578261215,0.00035090501362737987,0.0003443077228051922,0.0004109443073282476,0.003596984245616033,-17.537159825279506
16,14,2,9,15,0.00036686548179412247,0.00038164156477511096,0.00043432784391757154,0.00027321344940396767,0.0004220889898229153,0.001878137329713688,-16.130059055871246
5,13,6,13,15,-0.0002920718792920626,0.0005850720710236883,0.0010275637861954872,0.002800533876305976,0.0003382613294461447,0.0044593591836792346,-17.10926917792163
14,11,6,13,10,1.973165315494516e-05,0.0001247693779229813,0.003106598389821971,0.001570171242570347,0.000531136978412103,0.005352407641882348,-15.305381540503038
5,13,6,13,15,-0.0002920718792920626,0.0005850720710236883,0.0010275637861954872,0.002800533876305976,0.0003382613294461447,0.0044593591836792346,-14.105155179508754
16,4,2,9,15,0.0007415548116496399,0.00039450317694901353,0.0004519697339075106,0.0001863961239688668,0.00020052502273814162,0.001974948869213172,-11.292114451524613
16,4,8,5,1,0.0004346232618109491,0.000991984251353688,0.00015130539165013137,0.0007487924785697633,0.00019128777736030072,0.0025179931607448324,-12.54955581771746
16,11,13,6,15,0.000489723769063133,0.00022229281520148817,0.0037046757831744647,0.00020306101360378933,0.00039026520369680773,0.005010018584739683,-11.78022885091372
14,11,6,13,10,1.973165315494516e-05,0.0001247693779229813,0.003106598389821971,0.001570171242570347,0.000531136978412103,0.005352407641882348,-19.344309457345062
16,11,2,9,15,0.0004998637242820148,0.0023942132819787256,0.0023322472770562716,0.00019671223080946178,0.0020445607810000072,0.00746759729512648,-11.995018104099714
