Material 1,Material 2,Material 3,Material 4,Material 5,Thickness 1 (m),Thickness 2 (m),Thickness 3 (m),Thickness 4 (m),Thickness 5 (m),Total Thickness (m),Max Reflection (dB)
10,10,10,10,10,0.0003405602388630206,0.001972791151020827,0.0019017587760137764,0.00039746271883307435,0.00382732760453112,0.008439900489261819,-1.4682386456137417
12,10,10,10,10,0.000316929503471913,0.0002887051266187022,0.0029119829489490795,0.0004080827131457827,0.0021751628725880526,0.00610086316477353,-1.1379094491915966
12,10,10,10,10,0.0034868554676206883,0.0019708346534349974,0.003664335523043796,0.001528571537183059,0.00382537110694529,0.014475968288227831,-1.1076497467966582
12,7,10,10,10,0.0027885106207598182,0.0016638121399641544,0.00026908036877932543,0.003441443336401694,0.0021786433276238743,0.010341489793528866,-1.6532879594406593
12,7,10,2,11,0.0027845641794030304,0.0034895423126696723,0.002302521291736567,0.0038501079953845363,0.003797826749574432,0.016224562528768235,-1.7538997700218204
10,7,10,5,11,0.0003608807579233965,0.00026129340345635254,0.000275484987389953,0.0013917282952256517,0.0037977266341250454,0.006087114078120399,-0.6918180332804447
5,10,12,5,2,0.0031641039241539705,0.0035196538520460502,0.0036357190264749654,0.0005990687977273817,0.002470016156298225,0.013388561756700593,-2.547523870636984
12,7,10,10,10,0.0027885106207598182,0.0016638121399641544,0.00026908036877932543,0.003441443336401694,0.0021786433276238743,0.010341489793528866,-0.8455027985073802
5,10,4,10,10,0.0027813085041536924,0.001965598791050174,0.002730269977957859,0.00394251637682796,0.00382642719093339,0.015246120840923076,-0.9343976798480136
12,10,10,9,10,0.000570771390990255,0.003509813717809227,0.001749554005028984,0.003849433611486518,0.000600345783851815,0.010279918509166798,-1.630211015796612
5,10,12,5,2,0.0031641039241539705,0.0035196538520460502,0.0036357190264749654,0.0005990687977273817,0.002470016156298225,0.013388561756700593,-2.6559574678698104
10,9,10,10,10,0.001929026429947609,0.0034780720057018036,0.0036650213215994754,0.0008262711371314811,0.0022031917284974635,0.012101582622877834,-1.4933268971191467
6,10,10,9,10,0.0027437112063781106,0.0002823759657281782,0.0031475103609505417,0.00036822249985663734,0.0038320338717322843,0.010373853904645753,-1.0071285209579104
10,10,3,5,10,0.00035428638017800994,0.0002918112736209832,0.00022658378656961297,0.0005998453280410421,0.0038415071870313215,0.0053140339554409695,-0.7590810506933201
5,10,12,10,10,0.0003128774926845413,0.0015736227442157507,0.0018750034729308226,0.00040977703139874147,0.0038396419170967882,0.008010922658326645,-1.3534095342201256
10,10,10,6,10,0.003014744986879845,0.002203345552157842,0.0031257670421998627,0.0038444083370189333,0.0038125122499850102,0.01600077816824149,-1.5833023508527422
5,10,7,10,10,0.000372212380646332,0.003742357964635475,0.0009422918723759227,0.0006393574134182535,0.0006121918727578304,0.006308411503833814,-1.0653636605637964
1,5,6,5,10,0.0003111258855695668,0.0020474199141355546,0.003297097546492083,0.0006000489758498164,0.0006154904864250125,0.006871182808472034,-1.7441470806268864
10,7,10,5,11,0.0003608807579233965,0.00026129340345635254,0.000275484987389953,0.0013917282952256517,0.0037977266341250454,0.006087114078120399,-1.6378312509796358
