Material 1,Material 2,Material 3,Material 4,Material 5,Thickness 1 (m),Thickness 2 (m),Thickness 3 (m),Thickness 4 (m),Thickness 5 (m),Total Thickness (m),Max Reflection (dB)
98,40,40,9,44,0.0003772107566918854,-1.0078677237011704e-05,-8.113811742661582e-05,0.0003138344556691997,0.0002831302454156524,0.0008829586631131101,-2.365937929378654
2,40,40,39,37,0.00018522592494237358,1.1279092910089739e-05,-3.936105488747272e-05,-0.00011361598462664037,9.527179812566855e-05,0.00013879977646401878,-1.9637029471995069
38,40,40,93,47,2.6769580510641917e-05,1.809756218020297e-05,-3.254258561735943e-05,5.103209239305093e-05,-6.528605130608584e-05,-1.929401839549457e-06,-1.317031047465306
14,40,40,39,47,7.358328228100955e-05,-1.7441629496210666e-05,0.00010244420427436053,-0.000233914489551267,9.59086944268628e-05,2.0580061934755213e-05,-2.384925912883176
38,40,40,39,47,0.00010345897741703895,-0.00018102143304980802,4.748562812964871e-05,-4.746516342791641e-05,3.0373960251055932e-05,-4.716803067998085e-05,-0.8154943836866633
38,40,40,39,47,-0.0001622453514677551,-0.00016766982919162157,7.609753945335133e-05,1.809307532407675e-05,9.79447644523037e-05,-0.0001377798014296448,-2.7041871985136954
38,40,40,77,47,-0.00016053688701308085,0.00012881515251068752,1.8527874223022936e-05,0.00029323043147358343,-1.4177029402821086e-05,0.00026585954179139193,-0.44773964359262597
2,40,40,39,37,0.00018522592494237358,1.1279092910089739e-05,-3.936105488747272e-05,-0.00011361598462664037,9.527179812566855e-05,0.00013879977646401878,-1.2021086721620817
102,47,103,39,47,0.00016372781444180652,7.859204041603111e-05,0.0002642812514195039,-0.0002636828034753636,8.828040363316407e-05,0.00033119870643514193,-1.3492731917341096
38,40,40,93,47,2.6769580510641917e-05,1.809756218020297e-05,-3.254258561735943e-05,5.103209239305093e-05,-6.528605130608584e-05,-1.929401839549457e-06,-3.5841956260752275
19,40,40,39,47,0.0003717061333926372,9.239387121562699e-05,-0.0001098623625483336,-2.0727958826403257e-05,2.264922232537026e-05,0.0003561589055588976,-2.2049284640733573
38,40,40,39,47,0.00010345897741703895,-0.00018102143304980802,4.748562812964871e-05,-4.746516342791641e-05,3.0373960251055932e-05,-4.716803067998085e-05,-1.6138337768881463
38,55,5,39,47,0.00013322405485856751,0.00037557941139574236,0.0003225011549610276,1.2282670210342667e-05,-0.00021569628308794537,0.0006278910083377348,-3.265482988972202
51,40,101,39,53,0.0003705275417443277,3.930035993323745e-05,0.00032258169509017965,-8.248183126326535e-05,0.0002795681565774282,0.0009294959220819076,-1.8395065879054515
91,40,40,39,47,0.0003138859740705397,8.243388785580557e-05,-2.7853390431858907e-05,2.9106738839759e-05,-0.00014096515806520643,0.0002566080522690389,-1.087837212235204
98,40,40,9,44,0.0003772107566918854,-1.0078677237011704e-05,-8.113811742661582e-05,0.0003138344556691997,0.0002831302454156524,0.0008829586631131101,-0.6952814863339495
105,79,40,39,47,8.714118638160123e-05,0.0003754167484014237,0.0001537234204664247,-8.634608193890189e-05,-0.00010473314140651305,0.0004252021319040347,-1.0786809210694999
18,40,111,39,38,6.852877423719948e-05,-5.705604583784718e-05,0.00023164400771807545,-0.00013208693434918888,0.00013677688024982165,0.0002478066820180605,-2.9259691883930654
53,40,40,39,47,8.468514711703407e-05,4.342575814781951e-05,-7.2143896497429e-06,-7.738235849739912e-05,-3.536228020467399e-05,8.151876913037556e-06,-1.3676991628015547
38,40,40,39,47,-0.0001894557500232646,9.784720155043936e-05,-1.2440076737225198e-05,5.052924864771046e-05,-5.1476166292808306e-05,-0.00010499554285514829,-0.9514641877306762
2,40,40,39,37,0.00018522592494237358,1.1279092910089739e-05,-3.936105488747272e-05,-0.00011361598462664037,9.527179812566855e-05,0.00013879977646401878,-2.589761377357047
38,40,40,93,47,2.6769580510641917e-05,1.809756218020297e-05,-3.254258561735943e-05,5.103209239305093e-05,-6.528605130608584e-05,-1.929401839549457e-06,-2.5330141316487365
98,40,40,9,44,0.0003772107566918854,-1.0078677237011704e-05,-8.113811742661582e-05,0.0003138344556691997,0.0002831302454156524,0.0008829586631131101,-1.1145962286463538
70,40,40,36,16,6.946666764322951e-05,-0.00012066436098542048,-3.5842749986855124e-05,0.00017530983717292624,0.0002814301721430273,0.00036969956598690743,-4.17691858676362
38,67,85,39,66,-0.00017585295648603474,0.0003753795959601858,0.00026501613746042176,0.00010342946499194092,0.00028138643253006234,0.000849358674456576,-1.575742123982284
18,40,111,39,38,6.852877423719948e-05,-5.705604583784718e-05,0.00023164400771807545,-0.00013208693434918888,0.00013677688024982165,0.0002478066820180605,-2.28274339528095
38,40,40,39,47,-0.0001622453514677551,-0.00016766982919162157,7.609753945335133e-05,1.809307532407675e-05,9.79447644523037e-05,-0.0001377798014296448,-4.099233822170155
105,40,40,39,47,0.0003772027999337722,6.973979993636638e-05,-0.00010916571344694416,-4.7021698066929994e-05,-4.054757907756971e-06,0.00028670043044850743,-1.4864410898562346
38,40,40,39,47,0.00010345897741703895,-0.00018102143304980802,4.748562812964871e-05,-4.746516342791641e-05,3.0373960251055932e-05,-4.716803067998085e-05,-2.6511643014210002
